state_name,state_abb,deaths,population,income,hs,bs
Alabama,AL,3831,387000,25734,82.1,21.9
Alaska,AK,142,96500,35455,91,27.9
Arizona,AZ,6885,498000,29348,85.6,25.9
Arkansas,AR,2586,238000,25359,82.9,19.5
California,CA,19582,2815000,31086,80.7,30.1
Colorado,CO,2724,431000,35053,89.7,36.4
Connecticut,CT,5146,273000,37299,88.6,35.5
Delaware,DE,782,77500,32928,87.7,27.8
Florida,FL,19236,1265000,27107,85.5,25.8
Georgia,GA,9725,651000,28838,84.3,27.3
Hawaii,HI,256,127000,34135,89.9,29.5
Idaho,ID,1014,131000,26918,88.3,24.4
Illinois,IL,13782,1115000,32104,86.9,30.8
Indiana,IN,6122,548000,29303,87,22.7
Iowa,IA,2605,380000,31509,90.6,24.9
Kansas,KS,1786,295000,30718,89.2,29.8
Kentucky,KY,2039,375000,26174,81.9,20.5
Louisiana,LA,6548,322000,26067,81.9,21.4
Maine,ME,224,143000,28853,90.3,26.8
Maryland,MD,4790,461000,39682,88.1,36.1
Massachusetts,MA,10910,507000,36822,89.1,39
Michigan,MI,10117,1060000,28961,88.7,25.2
Minnesota,MN,3845,772000,35498,91.8,31.8
Mississippi,MS,3916,202000,24191,81,19.5
Missouri,MO,4122,544000,28902,86.9,25.6
Montana,MT,727,112000,27727,91.7,28.8
Nebraska,NE,1159,232000,31609,90.4,28.6
Nevada,NV,2272,206000,30541,84.7,21.7
New Hampshire,NH,552,118000,35502,91.5,32.8
New Jersey,NJ,17255,668000,37089,88,35.4
New Mexico,NM,1706,164000,25543,83.3,25
New York,NY,27017,1593000,32496,84.9,32.5
North Carolina,NC,5467,742000,27957,84.7,26.5
North Dakota,ND,995,1.00E+05,35078,90.3,27.6
Ohio,OH,6882,999000,29602,88.1,24.6
Oklahoma,OK,1860,476000,27344,86.2,22.9
Oregon,OR,1003,306000,29696,88.8,28.8
Pennsylvania,PA,11113,1297000,30681,88.4,27.1
Rhode Island,RI,1413,76000,31535,83.5,30.2
South Carolina,SC,4496,349000,26729,84.1,24.5
South Dakota,SD,1064,108000,30940,89.6,26.3
Tennessee,TN,4876,488000,26896,83.6,23.1
Texas,TX,22255,1747000,30069,80.7,25.9
Utah,UT,925,258000,30602,90.6,29.3
Vermont,VT,77,84500,31099,91,33.6
Virginia,VA,4160,640000,34679,86.5,34.2
Washington,WA,2900,563000,34883,89.8,31.1
West Virginia,WV,799,148000,24893,83.2,17.5
Wisconsin,WI,3842,8.00E+05,31604,90.1,26.3
Wyoming,WY,257,50000,32009,92.3,24.1
